id,shop_url,shop_name,rank_stars,shop_review,shop_price,shop_area_tag,shop_addr,shop_Q,shop_E,shop_S,adress_s,address_d,lng_wgs84,lat_wgs84,fnid
0,http://www.dianping.com/shop/77711796,北京坊,五星商户,['796'],['184'],前门,煤市街廊房头条交叉口东北角,9.1,9.2,9.1,北京煤市街廊房头条交叉口东北角北京坊,北京市西城区北京坊,116.38929820000001,39.89710346,143844
1,http://www.dianping.com/shop/2373535,西单大悦城,五星商户,['11490'],['431'],西单,西单北大街131号,8.6,8.7,8.1,北京西单北大街131号西单大悦城,北京市西城区西单大悦城,116.3667561,39.90950479,148121
2,http://www.dianping.com/shop/1766230,东方新天地,五星商户,['3230'],['520'],王府井/东单,东长安街1号,8.7,8.8,8.2,北京东长安街1号东方新天地,北京市东城区东方新天地,116.40835109999999,39.90802013,147421
3,http://www.dianping.com/shop/2245474,金融街购物中心,五星商户,['1104'],['3870'],复兴门,金城坊街2号,9.1,9.2,9,北京金城坊街2号金融街购物中心,北京市西城区金融街购物中心,116.3552547,39.91461789,149545
4,http://www.dianping.com/shop/1766320,君太百货,准五星商户,['1201'],['819'],西单,西单北大街133号,9,9,8.8,北京西单北大街133号君太百货,北京市西城区君太百货,116.3669699,39.9081756,147407
5,http://www.dianping.com/shop/2269708,凯德MALL(西直门店),准五星商户,['4034'],['250'],西直门/动物园,西直门外大街1号,8.3,8.3,8,北京西直门外大街1号凯德MALL(西直门店),北京市西城区凯德mall,116.34655409999999,39.9403977,157396
6,http://www.dianping.com/shop/1766422,汉光百货,准五星商户,['1778'],['855'],西单,西单北大街176号,8.9,8.7,8.4,北京西单北大街176号汉光百货,北京市西城区汉光百货,116.3689983,39.90799235,147407
7,http://www.dianping.com/shop/98533057,西单华威约饭街,五星商户,['211'],['59'],西单,西单北大街130号华威大厦7层,9,9,8.8,北京西单北大街130号华威大厦7层西单华威约饭街,北京市西城区华威大厦,116.3680153,39.91026833,148121
8,http://www.dianping.com/shop/4534661,老佛爷百货,准五星商户,['1170'],['2966'],西单,西单北大街110号,9,9.1,8.7,北京西单北大街110号老佛爷百货,北京市西城区老佛爷百货,116.368003,39.91252925,148835
9,http://www.dianping.com/shop/1766392,新世界百货(崇文门店),准五星商户,['4660'],['727'],崇文门,崇文门外大街3-5号,7.9,7.6,7.4,北京崇文门外大街3-5号新世界百货(崇文门店),北京市东城区新世界百货,116.4116594,39.89615667,143852
10,http://www.dianping.com/shop/27526543,王府井购物中心(右安门店),准五星商户,['296'],['148'],右安门,白纸坊街道万博苑7号楼,8.8,8.9,8.8,北京白纸坊街道万博苑7号楼王府井购物中心(右安门店),北京市西城区王府井购物中心,116.3587303,39.87033993,135266
11,http://www.dianping.com/shop/2996014,天虹百货(宣武天虹店),准五星商户,['415'],['452'],广外大街,广安门外大街168号,8.2,8.4,8.4,北京广安门外大街168号天虹百货(宣武天虹店),北京市西城区天虹百货,116.33485390000001,39.88734281,140970
