conn_ID,AREA_NAME,lng_wgs84,lat_wgs84,AREA_TYPE_NAME,出账收入,门店面积(㎡)
id_0,西直门,116.3630912,39.95807776,商业街区,153491.932,54.6
id_1,西三旗,116.3733498,40.06640412,社区,259348.3725,157.5
id_2,北太平庄,116.3826922,39.97457068,社区,364640.9203,210
id_3,清河,116.3488979,40.03678736,社区,301958.9804,105
id_4,温泉,116.2132897,40.04590159,社区,271020.1451,189
id_5,马连洼,116.2802584,40.03800957,社区,234416.5634,210
id_6,二里庄,116.3771227,40.00026289,社区,261308.1059,157.5
id_7,中关村,116.3245359,39.99052753,产业园区,415932.4693,210
id_8,上地,116.3178435,40.03371448,社区,453856.0105,252
id_9,苏州街,116.3128489,39.97784667,商业街区,181274.7935,157.5
id_10,皂君庙,116.3441549,39.96798367,社区,426189.0026,735
id_11,中关村东路,116.3386662,40.0009745,商业街区,161627.3268,105
id_12,新街口外大街,116.3801859,39.9589903,社区,82352.05359,42
id_13,中关村南大街,116.3297371,39.96650444,商业街区,110007.3216,42
id_14,花园路,116.3719664,39.9833132,商业街区,54017.15556,105
id_15,万柳中路,116.3020962,39.97389335,社区,41367.4732,178.5
id_16,广外,116.3363396,39.89634237,商业街区,181684.485,218.4
id_17,长椿街,116.365201,39.9023618,社区,114512.8275,132.3
id_18,陶然亭,116.3941725,39.88606613,社区,145643.6732,105
id_19,丰台南,116.305923,39.83951647,社区,302708.7007,210
id_20,丰台,116.2893672,39.85880064,社区,279933.2013,132.3
id_21,丰台新村,116.3153642,39.85600357,社区,109057.5634,105
id_22,卢沟桥,116.2440387,39.84312445,社区,110217.6967,540.75
id_23,西单,116.3798446,39.91873018,核心商圈,446359.8275,514.5
id_24,金融街,116.3643668,39.91993377,产业园区,240513.1895,147
id_25,新发地,116.3462749,39.82763858,社区,227202.8144,84
id_26,樱桃园,116.3687864,39.88515954,社区,286969.2078,161.7
id_27,长话大楼,116.3683822,39.91335529,产业园区,83864.79085,132.3
id_28,西客站,116.3272398,39.91006927,商业街区,125542.2797,595.35
id_29,马连道,116.333492,39.88998305,商业街区,205993.1895,210
id_30,莲花桥,116.3178345,39.90487357,社区,300000.2588,391.65
id_31,护国寺,116.3791798,39.94122817,商业街区,126033.1412,735
id_32,长辛店,116.2161014,39.82415447,社区,195787.1908,105
id_33,万年花城,116.3254701,39.85072065,社区,51617.18954,159.6
id_34,开阳里,116.3770418,39.87170449,社区,48175.08366,189
id_35,杜家坎,116.2164428,39.85245859,社区,39210.84183,157.5
id_36,太平桥,116.323961,39.88392073,社区,50294.23007,133.35
id_37,芍药居,116.4378302,39.99147439,社区,156214.7595,105
id_38,北苑,116.4228105,40.03718115,社区,239352.7229,210
id_39,北苑东路,116.447828,40.03933893,社区,145420.6928,385.35
id_40,惠新西街,116.4234792,39.98732903,社区,68889.0732,136.5
id_41,京旺家园,116.5346108,40.01614455,社区,36745.15163,89.25
id_42,孙河,116.5480163,40.04137225,社区,67330.83922,136.5
id_43,金盏大街,116.5772382,40.00858091,社区,47676.38824,210
id_44,双营路,116.4338417,40.04320908,社区,40080.24706,94.5
id_45,望京街,116.4842522,40.00243735,商业街区,58803.7281,137.55
id_46,立军路,116.409872,40.0531007,社区,36400.27582,206.85
id_47,西坝河东里,116.4589943,39.97408018,社区,28154.23268,194.25
id_48,南湖南路,116.470041,39.99713614,社区,50215.03137,202.65
id_49,新中西里,116.445861,39.93984517,社区,61864.25882,303.45
id_50,亚运村北,116.4137376,40.00820767,商业街区,145585.519,157.5
id_51,亚运村,116.4150581,39.99926806,社区,231651.6732,1556.1
id_52,酒仙桥,116.4966422,39.97703136,商业街区,475173.6837,105
id_53,东黄城根,116.4130836,39.93833341,社区,109750.4837,84
id_54,东小口,116.4190466,40.06926865,社区,303662.0405,210
id_55,南沙滩,116.3876149,40.00769667,社区,167983.583,84
id_56,左家庄,116.4551405,39.95408203,商业街区,185152.8863,189
id_57,太阳宫,116.4568204,39.9804178,社区,145850.6876,367.5
id_58,西坝河,116.4460497,39.96652525,社区,298804.5935,1556.1
id_59,机场,116.5982553,40.06979507,商业街区,238705.9176,84
id_60,五路居,116.4072968,39.9780404,社区,137080.6327,79.8
id_61,三里屯,116.4593143,39.94168911,商业街区,181185.0863,21
id_62,和平里,116.4175994,39.96666163,社区,263593.898,189
id_63,望京,116.4740678,40.00437363,商业街区,576051.5529,66.15
id_64,望京广顺北,116.4748853,40.00937533,社区,168858.0915,262.5
id_65,常营,116.591221,39.93004015,社区,126784.0536,88.2
id_66,东四,116.42467,39.92326081,核心商圈,284351.3072,1531.95
id_67,东单,116.427329,39.9155551,核心商圈,376369.0837,977.55
id_68,朝阳路,116.5013763,39.921331,核心商圈,330205.6758,192.15
id_69,呼家楼,116.4703129,39.92566088,核心商圈,405316.9307,590.1
id_70,定福庄,116.574175,39.9211235,社区,369082.1595,388.5
id_71,神路街,116.4503844,39.92690767,社区,190084.3725,126
id_72,朝阳门,116.4465168,39.92953402,核心商圈,191604.1268,192.15
id_73,青年路,116.5264121,39.93384954,社区,251559.7124,341.25
id_74,高碑店,116.5302928,39.91856417,社区,152593.5216,268.8
id_75,东坝,116.5640331,39.95816763,社区,157053.6967,210
id_76,团结湖,116.4736366,39.94028082,社区,85074.57516,225.75
id_77,大北窑,116.479296,39.91366659,核心商圈,220727.9569,235.2
id_78,高碑店新村,116.5342812,39.90927368,社区,11491.24183,168
id_79,广渠门,116.4372698,39.90000397,商业街区,435739.5634,630
id_80,方庄,116.4393663,39.86512134,社区,544971.3255,399
id_81,经济技术开发区,116.5141143,39.80310055,商业街区,371877.8118,210
