fnid,bj_conveni_store,bj_dianping,bj_mall,bj_supermarket,bj_unicom_businesshall
-1,4.0,-1.0,,,
100144,1.0,,,,
100145,1.0,,,,
100211,4.0,,,,
100219,1.0,,,,
100226,3.0,,,,
100232,1.0,,,,
100247,1.0,,,,
100248,2.0,,,,
100251,1.0,,,,
100262,2.0,,,1.0,
100274,1.0,,,1.0,
100286,3.0,,,3.0,
100287,3.0,,,,
100298,1.0,,,,
100342,1.0,7.433333333333334,1.0,1.0,
100343,5.0,,,1.0,
100344,6.0,,,,
100345,3.0,,1.0,2.0,
100346,3.0,,,,
100347,2.0,,,,
100348,1.0,,,,
100353,1.0,,,,
100355,1.0,,,,
100372,2.0,,,1.0,
100391,1.0,,,,
100392,1.0,,,,
100899,1.0,,,,
100924,1.0,,,,
100925,1.0,,,,
100933,1.0,9.066666666666666,1.0,2.0,
100940,1.0,,,,
100943,1.0,,,,
100963,1.0,,,,
100966,1.0,,,,
100976,1.0,,,1.0,
100980,1.0,,,1.0,
100989,1.0,,,,
100990,1.0,,,,
100999,2.0,,,,
101000,1.0,,,1.0,
101009,5.0,,,1.0,
101010,1.0,,,,
101012,1.0,,,,
101013,2.0,,,,
101018,2.0,,1.0,2.0,
101024,2.0,,,1.0,
101056,2.0,,,1.0,
101057,2.0,,,,
101058,7.0,7.3,1.0,2.0,
101059,6.0,6.433333333333334,,5.0,
101060,4.0,,,1.0,1.0
101573,1.0,,,,
101648,1.0,,,,
101660,1.0,,,,
101662,1.0,,,,
101695,1.0,,,,
101697,2.0,8.183333333333334,1.0,1.0,
101698,4.0,,1.0,1.0,
101715,1.0,,,1.0,
101716,1.0,,,,
101729,1.0,,,,
101737,2.0,,,1.0,
101738,1.0,,,,
101765,1.0,,,,
101768,1.0,,,,
101771,1.0,,1.0,,
101772,7.0,,,,
101773,4.0,,,1.0,
101774,4.0,,,1.0,
101820,2.0,,,,
101821,6.0,,,,
102295,1.0,,,,
102296,1.0,,,,
102310,1.0,,,,
102325,1.0,,,,
102334,2.0,,,,
102335,1.0,,,,
102355,2.0,,,,
102370,1.0,,,,
102427,2.0,,,1.0,
102436,1.0,,,,
102438,1.0,,,1.0,
102472,2.0,,,,
102473,1.0,,,,
102489,1.0,,,,
102490,1.0,,,,
102548,1.0,,,,
102570,1.0,,,1.0,
102571,1.0,,,,
103040,2.0,,,,
103044,1.0,,,,
103066,1.0,,,,
103070,1.0,,,,
103083,1.0,,,,
103087,2.0,,,1.0,
103126,1.0,,,,
103130,1.0,,,,
103141,1.0,,,,
103142,2.0,,,1.0,
103144,1.0,,,,
103149,1.0,,,,
103152,1.0,,,,
103195,1.0,,,,
103228,2.0,,,1.0,
103737,2.0,,,,
103784,1.0,,,,
103785,1.0,,,,
103797,1.0,,,,
103798,1.0,,,,
103834,1.0,,,1.0,
103848,1.0,,,,
103849,1.0,,,,
103851,1.0,,,,
103853,1.0,,,,
103854,1.0,,,,
103855,1.0,,,,
103858,2.0,,,,
103868,1.0,,,,
103895,1.0,,,1.0,
103896,1.0,,,,
103909,1.0,,,2.0,
103910,1.0,,,1.0,
103927,2.0,,,1.0,
103954,1.0,,,1.0,
103995,1.0,,,,
104451,1.0,,,1.0,
104477,1.0,,,,
104488,1.0,,,,
104515,1.0,,,1.0,
104528,2.0,,,1.0,
104552,1.0,,,1.0,
104564,1.0,,,,
104571,1.0,,,,
104575,1.0,,,,
104587,3.0,,,,
104588,2.0,,,,
104609,1.0,,,,
104664,1.0,,,,
104713,1.0,,,,
105165,1.0,,,1.0,
105182,2.0,,,,
105242,2.0,,,,
105251,1.0,,,,
105279,1.0,,,,
105281,3.0,,,1.0,
105282,1.0,,,2.0,
105283,1.0,,,1.0,
105284,1.0,,,,
105289,1.0,,,,
105290,1.0,,,,
105291,1.0,,,2.0,
105296,1.0,,,,
105300,1.0,,,,
105302,1.0,,,,
105331,1.0,,,1.0,
105343,1.0,,,,
105401,1.0,,,,
105419,1.0,,,,
105879,1.0,,,,
105928,1.0,,,1.0,
105929,2.0,,,,
105956,1.0,,,,
105963,1.0,,,,
105964,1.0,,,,
105965,2.0,,,1.0,
105966,1.0,,,,
105968,1.0,,,,
105995,1.0,,,,
105997,3.0,,,,
105998,2.0,,,1.0,
106003,1.0,,,,
106004,1.0,,,,
106015,1.0,,,1.0,
106017,3.0,,,1.0,
106019,1.0,,,,
106045,1.0,,,,
106127,1.0,,,,
106637,1.0,,,,
106642,1.0,,,,
106671,1.0,,,,
106675,1.0,,,,
106677,2.0,,,,
106679,1.0,7.366666666666667,1.0,,
106680,4.0,,1.0,,
106681,2.0,,,,
106682,2.0,,,,
106683,1.0,,,1.0,
106717,1.0,,,,
106718,1.0,,,1.0,
106721,1.0,,,,
106722,1.0,,,,
106723,1.0,,,,
106724,1.0,,,,
106725,1.0,,,,
106729,1.0,,,,
106763,1.0,,,,
106772,1.0,,,,
107333,1.0,,,,
107344,1.0,,,,
107349,1.0,,,,
107351,1.0,,,,
107394,1.0,,,,
107397,1.0,,,,
107398,1.0,,,,
107413,1.0,,,,
107432,1.0,,,,
107434,3.0,,,,
107435,3.0,,,,
107436,2.0,,,,
107438,1.0,,,,
107489,1.0,,,,
108031,1.0,,,,
108067,1.0,,,,
108101,1.0,,,,
108104,1.0,,,,
108106,1.0,,,,
108107,3.0,,,1.0,
108119,1.0,,,,
108120,1.0,,,,
108122,1.0,,,,
108123,1.0,,,1.0,
108124,1.0,,,,
108126,1.0,,,1.0,
108145,9.0,,,,
108146,6.0,,,,
108147,4.0,,,,
108148,1.0,,,,
108149,1.0,,1.0,2.0,
