id,province_name,city_name,area_name,address,shop_name,site_type,site_type_code,lng_wgs84,lat_wgs84,fnid
611,北京市,北京市,朝阳区,八里庄北里125号楼底商撒拉尔餐厅同侧南(近撒拉尔),百年义利(八里庄北里店),餐饮服务;糕饼店;糕饼店|购物服务;超级市场;超市,050800|060400,116.4902554,39.92936155,153875
27,北京市,北京市,东城区,东华门大街20号,乐购,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.39852759999998,39.91363378,148845
47,北京市,北京市,东城区,南岗子街甲58号西南60米,世纪华联超市(文章胡同),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.42159790000001,39.88582417,140285
66,北京市,北京市,东城区,天天家园22号,超市发(天天家园店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.3993392,39.86366524,133138
76,北京市,北京市,东城区,东板桥街36号,百姓生活超市(东板桥街),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.3954243,39.92919104,153842
89,北京市,北京市,东城区,交道口南大街与炒豆胡同交叉口东北50米,汇聚购便民超市(交道口店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.40270749999999,39.93310177,155273
149,北京市,北京市,东城区,王府井东街8号澳门中心F1层,全家便利店(澳门中心),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.40712749999999,39.91323628,148848
168,北京市,北京市,东城区,毛家湾胡同甲13号北京站F2层,便利超市(北京站),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.4208548,39.90173161,145283
170,北京市,北京市,东城区,东四南大街17号三友商场F1层,Our Hours全时,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.4109976,39.92144014,151706
174,北京市,北京市,东城区,东直门内大街219号,簋街超市,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.4139101,39.9398675,157419
180,北京市,北京市,东城区,东直门内大街5-17号,尤拉超市(东直门店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.4230993,39.94001759,157422
183,北京市,北京市,东城区,豆瓣胡同5号楼1层,双喜发超市,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.4255412,39.92520622,153139
186,北京市,北京市,东城区,广渠门桥北远洋德邑门口,馨馨便民超市,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.4394702,39.89353065,143147
237,北京市,北京市,西城区,北礼士路62号,独秀源超市,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.3475957,39.92709049,153112
243,北京市,北京市,西城区,三庙街1层附近,华联超市(三庙街分店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.3602905,39.89605653,143834
255,北京市,北京市,西城区,三不老胡同丙40,建国便民商店,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,116.3702959,39.93779773,156690
